,rtt
1652,29204.5
1653,38836.5
1654,86036.0
1655,38482.0
1656,37601.0
1657,39836.0
1658,92555.5
1659,52035.0
1660,53457.5
1661,32923.0
1662,37276.5
1663,43121.5
1664,40197.5
1665,60866.0
1666,64224.5
1667,84768.0
1668,84900.5
1669,94442.0
1670,87929.0
1671,84158.5
1672,82473.0
1673,85776.5
1674,84083.5
1675,84574.5
1676,82698.5
1677,91311.0
1678,87567.0
1679,83870.0
1680,85063.0
1681,86896.0
1682,93714.0
1683,90308.0
1684,88088.5
1685,86393.5
1686,88658.0
1687,92787.0
1688,86757.5
1689,87947.0
1690,86641.0
1691,88869.0
1692,89091.0
1693,85993.5
1694,86177.5
1695,87474.5
1696,84326.0
1697,95312.5
1698,90442.0
1699,78425.0
1700,89483.5
1701,84048.5
1702,87209.5
1703,87520.5
1704,84283.5
1705,40755.0
1706,38636.0
1707,88901.5
1708,50459.0
1709,34965.5
1710,30526.5
1711,87934.0
1712,87125.0
1713,87901.5
1714,76084.0
1715,93380.5
1716,86325.0
1717,44282.5
1718,43599.0
1719,45983.0
1720,83875.5
1721,84070.0
1722,84907.5
1723,91923.0
1724,85197.0
1725,93135.5
1726,65679.0
1727,87783.5
1728,87858.0
1729,91748.0
1730,84083.5
1731,84062.0
1732,83332.0
1733,85878.0
1734,83304.5
1735,89990.0
1736,82325.0
1737,84786.5
1738,83703.0
1739,91806.5
1740,82558.5
1741,85262.5
1742,63304.0
1743,83144.5
1744,83837.0
1745,91546.0
1746,85973.0
1747,85003.5
1748,84724.5
1749,97301.5
1750,88701.5
1751,89813.5
1752,87579.0
1753,87213.5
1754,42335.0
1755,91198.0
1756,85672.0
1757,85267.0
1758,87603.5
1759,87871.0
1760,69502.0
1761,39107.0
1762,84630.0
1763,31519.5
1764,82995.5
1765,38296.0
1766,90111.5
1767,42117.5
1768,55670.0
1769,72969.5
1770,97445.5
1771,83138.0
1772,84769.5
1773,83467.0
1774,42418.0
1775,45115.0
1776,83572.5
1777,41533.0
1778,40033.5
1779,83106.5
1780,83768.5
1781,86723.5
1782,31319.5
1783,44982.5
1784,41303.5
1785,58358.0
1786,38675.5
1787,40175.0
1788,30930.5
1789,42956.5
1790,41663.5
1791,87381.0
1792,38822.0
1793,32860.0
1794,39507.5
1795,38261.0
1796,31937.0
1797,28492.0
1798,40739.5
1799,39162.5
1800,39148.0
1801,37325.0
1802,49834.5
1803,41489.5
1804,30561.5
1805,85319.0
1806,36491.0
1807,91302.5
1808,33934.0
1809,32538.0
1810,36168.0
